,Frequenta escola ou creche,Teve algum trabalho no período de referência de 365 dias,ultimo nivel escolar
313141,4,3.0,12.0
317075,4,3.0,11.0
317076,4,3.0,11.0
317081,4,3.0,11.0
317538,4,3.0,11.0
317812,4,3.0,12.0
318229,4,3.0,11.0
319314,4,3.0,12.0
321473,4,3.0,12.0
322340,4,3.0,11.0
323014,4,3.0,11.0
323474,4,3.0,4.0
323772,4,3.0,4.0
324021,4,3.0,11.0
326418,4,3.0,11.0
327053,4,3.0,11.0
327780,4,3.0,11.0
328971,4,3.0,11.0
331026,4,3.0,13.0
331650,4,3.0,11.0
332210,4,3.0,4.0
332211,4,3.0,11.0
333081,4,3.0,13.0
333705,4,3.0,11.0
333964,4,3.0,13.0
334697,4,3.0,11.0
334942,4,3.0,13.0
336380,4,3.0,11.0
337114,4,3.0,11.0
339443,4,3.0,13.0
341376,4,3.0,13.0
341791,4,3.0,11.0
343369,4,3.0,11.0
343427,4,3.0,13.0
344033,4,3.0,11.0
344853,4,3.0,12.0
345141,4,3.0,13.0
346714,4,3.0,11.0
346722,4,3.0,11.0
348759,4,3.0,13.0
349967,4,3.0,13.0
351630,4,3.0,11.0
353670,4,3.0,13.0
354154,4,3.0,13.0
